,state_name,Number_of_fires,Number.of.acres.burned.,latitude.x,longitude.x,business_closed,latitude.y,longitude.y,population
1,Alabama,2093.00,"25,623",32.88404246,-86.81980012,7593,32.88404246,-86.81980012,4799220
2,Alaska,384.00,"1,316,876",61.65627756,-153.3372215,1618,61.65627756,-153.3372215,719805
3,Arizona,1543.00,"105,281",33.70582711,-111.5757555,12008,33.70582711,-111.5757555,6482040
4,Arkansas,1302.00,"14,733",35.13441271,-92.37732717,4998,35.13441271,-92.37732717,2933423
5,California,7865.00,"577,675",36.42589527,-119.92227,74867,36.42589527,-119.92227,37649909
6,Colorado,830.00,"195,145",39.23322914,-105.345361,13521,39.23322914,-105.345361,5119400
7,Connecticut,28.00,238,41.57642401,-72.76643961,6541,41.57642401,-72.76643961,3583561
8,Delaware,0.00,17,39.20801194,-75.51738373,2031,39.20801194,-75.51738373,908446
9,Florida,2436.00,"7,660",28.16297891,-82.02580079,45371,28.16297891,-82.02580079,19091069
10,Georgia,3562.00,"6,736",32.97087433,-83.64010201,19523,32.97087433,-83.64010201,9809871
11,Hawaii,0.00,-1,20.93264234,-157.2496423,2445,20.93264234,-157.2496423,1376250
12,Idaho,1180.00,"722,204",44.61020072,-114.7432341,3744,44.61020072,-114.7432341,1582648
13,Illinois,36.00,55,40.37033852,-89.01153836,25193,40.37033852,-89.01153836,12848544
14,Indiana,54.00,806,39.95522663,-86.26795601,10838,39.95522663,-86.26795601,6514519
15,Iowa,577.00,"14,704",42.04040707,-93.37072507,5396,42.04040707,-93.37072507,3063159
16,Kansas,68.00,"7,137",38.49976112,-97.24549614,5610,38.49976112,-97.24549614,2867912
17,Kentucky,1466.00,"25,084",37.57183915,-84.80692336,6818,37.57183915,-84.80692336,4367495
18,Louisiana,1005.00,"17,883",30.95465917,-91.81704621,7772,30.95465917,-91.81704621,4567588
19,Maine,282.00,743,44.60679567,-69.3790644,3196,44.60679567,-69.3790644,1328225
20,Maryland,125.00,182,39.04197908,-76.73963974,10190,39.04197908,-76.73963974,5834284
21,Massachusetts,1169.00,879,42.2326714,-71.53445209,12519,42.2326714,-71.53445209,6605053
22,Michigan,268.00,940,43.52012263,-84.7889791,16422,43.52012263,-84.7889791,9886052
23,Minnesota,990.00,"22,107",45.57499585,-94.17977243,10649,45.57499585,-94.17977243,5347575
24,Mississippi,97.00,33,32.90946402,-89.68699837,4547,32.90946402,-89.68699837,2976777
25,Missouri,105.00,"1,660",38.40328442,-92.49087572,12620,38.40328442,-92.49087572,6007221
26,Montana,1646.00,"124,209",46.98789992,-110.3075369,2844,46.98789992,-110.3075369,999148
27,Nebraska,38.00,63,41.19778718,-98.2245354,3593,41.19778718,-98.2245354,1841883
28,Nevada,531.00,"162,907",38.08381309,-116.7467826,5950,38.08381309,-116.7467826,2730202
29,New Hampshire,62.00,137,43.40772214,-71.58166488,2841,43.40772214,-71.58166488,1319241
30,New Jersey,962.00,"1,430",40.37662403,-74.51481197,19176,40.37662403,-74.51481197,8832393
31,New Mexico,728.00,"221,951",34.7067053,-106.1919228,3636,34.7067053,-106.1919228,2066903
32,New York,94.00,"1,073",42.2633972,-75.13777023,43871,42.2633972,-75.13777023,19486857
33,North Carolina,4625.00,"24,547",35.56241446,-79.40810974,17574,35.56241446,-79.40810974,9651219
34,North Dakota,567.00,"16,116",47.52156679,-99.68438825,1513,47.52156679,-99.68438825,688964
35,Ohio,63.00,152,40.38506797,-82.72786984,18429,40.38506797,-82.72786984,11547903
36,Oklahoma,1007.00,"26,490",35.50406724,-97.03554083,6868,35.50406724,-97.03554083,3785406
37,Oregon,3087.00,"350,786",44.47524005,-122.0039465,9293,44.47524005,-122.0039465,3868427
38,Pennsylvania,877.00,"1,788",40.642921,-77.66253933,21119,40.642921,-77.66253933,12731126
39,Rhode Island,1.00,27,41.70440597,-71.51027208,2239,41.70440597,-71.51027208,1051695
40,South Carolina,1374.00,"7,082",33.95501873,-81.04166108,7938,33.95501873,-81.04166108,4679602
41,South Dakota,918.00,"4,475",44.31004642,-99.15471485,1845,44.31004642,-99.15471485,824996
42,Tennessee,1249.00,"7,080",35.8204421,-86.31477376,10552,35.8204421,-86.31477376,6395934
43,Texas,9677.00,"10,743",31.26294994,-97.76617974,43515,31.26294994,-97.76617974,25637324
44,Utah,1035.00,"70,282",39.77955477,-111.8284498,6240,39.77955477,-111.8284498,2812715
45,Vermont,53.00,281,44.03980451,-72.65377576,1609,44.03980451,-72.65377576,625904
46,Virginia,736.00,"4,418",37.65707508,-78.34819352,15559,37.65707508,-78.34819352,8100652
47,Washington,1480.00,"152,603",47.34743208,-121.1232716,15606,47.34743208,-121.1232716,6807868
48,Wisconsin,613.00,"9,196",44.17820659,-89.60147856,10087,44.17820659,-89.60147856,5706738
49,West Virginia,671.00,"8,577",38.48483377,-80.90534527,2774,38.48483377,-80.90534527,1853463
50,Wyoming,403.00,"44,016",42.93280062,-107.3783683,1687,42.93280062,-107.3783683,570212
